2016-04-21 20:03:05,820 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-21 20:03:05,821 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dmitrij\Desktop\KinoWebApp\KinoWebApp\src\main\resources
2016-04-21 20:03:05,822 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-21 20:03:05,822 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dmitrij\Desktop\KinoWebApp\KinoWebApp\src\test\resources
2016-04-21 20:04:04,277 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-21 20:04:04,279 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dmitrij\Desktop\KinoWebApp\KinoWebApp\src\main\resources
2016-04-21 20:04:04,280 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-21 20:04:04,282 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dmitrij\Desktop\KinoWebApp\KinoWebApp\src\test\resources
2016-04-21 20:04:31,365 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-21 20:04:31,366 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dmitrij\Desktop\KinoWebApp\KinoWebApp\src\main\resources
2016-04-21 20:04:31,377 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-21 20:04:31,378 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dmitrij\Desktop\KinoWebApp\KinoWebApp\src\test\resources
2016-04-21 20:04:47,211 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2016-04-21 20:04:57,472 [Worker-54] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Dmitrij\Desktop\KinoWebApp\KinoWebApp
2016-04-21 20:04:57,472 [Worker-54] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean install
2016-04-21 20:05:33,994 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
